"region";"anio";"sector";"pib";"origen";"sector2";"pobla";"pob_hat"
"Antofagasta";1888;"Agrario";0;"Badia-Miró";"Agrario";NA;36771
"Antofagasta";1888;"Industria";0;"Badia-Miró";"Industria";NA;36771
"Antofagasta";1888;"Minería";19251,3098751895;"Badia-Miró";"Minería";NA;36771
"Antofagasta";1888;"Servicios";9361,11315081775;"Badia-Miró";"Servicios";NA;36771
"Antofagasta";1889;"Agrario";0;"Badia-Miró";"Agrario";NA;37816
"Antofagasta";1889;"Industria";14,9177043946853;"Badia-Miró";"Industria";NA;37816
"Antofagasta";1889;"Minería";20378,7772009813;"Badia-Miró";"Minería";NA;37816
"Antofagasta";1889;"Servicios";10338,9727570608;"Badia-Miró";"Servicios";NA;37816
"Antofagasta";1890;"Agrario";0;"Badia-Miró";"Agrario";NA;38860
"Antofagasta";1890;"Industria";19,2103820588874;"Badia-Miró";"Industria";NA;38860
"Antofagasta";1890;"Minería";22670,0907831586;"Badia-Miró";"Minería";NA;38860
"Antofagasta";1890;"Servicios";11836,7836349969;"Badia-Miró";"Servicios";NA;38860
"Antofagasta";1891;"Agrario";0;"Badia-Miró";"Agrario";NA;39905
"Antofagasta";1891;"Industria";24,5988211910343;"Badia-Miró";"Industria";NA;39905
"Antofagasta";1891;"Minería";21503,2424677845;"Badia-Miró";"Minería";NA;39905
"Antofagasta";1891;"Servicios";14239,3245615264;"Badia-Miró";"Servicios";NA;39905
"Antofagasta";1892;"Agrario";0;"Badia-Miró";"Agrario";NA;40950
"Antofagasta";1892;"Industria";31,3557482215931;"Badia-Miró";"Industria";NA;40950
"Antofagasta";1892;"Minería";26849,7783376234;"Badia-Miró";"Minería";NA;40950
"Antofagasta";1892;"Servicios";14412,7155958053;"Badia-Miró";"Servicios";NA;40950
"Antofagasta";1893;"Agrario";0;"Badia-Miró";"Agrario";NA;41995
"Antofagasta";1893;"Industria";39,8190469277542;"Badia-Miró";"Industria";NA;41995
"Antofagasta";1893;"Minería";33717,076680257;"Badia-Miró";"Minería";NA;41995
"Antofagasta";1893;"Servicios";15730,1101266144;"Badia-Miró";"Servicios";NA;41995
"Antofagasta";1894;"Agrario";0;"Badia-Miró";"Agrario";NA;43040
"Antofagasta";1894;"Industria";50,4001611044335;"Badia-Miró";"Industria";NA;43040
"Antofagasta";1894;"Minería";40115,2313133461;"Badia-Miró";"Minería";NA;43040
"Antofagasta";1894;"Servicios";16533,0263849278;"Badia-Miró";"Servicios";NA;43040
"Antofagasta";1895;"Agrario";0;"Badia-Miró";"Agrario";44085;44085
"Antofagasta";1895;"Industria";63,5972097069884;"Badia-Miró";"Industria";44085;44085
"Antofagasta";1895;"Minería";46828,0401355724;"Badia-Miró";"Minería";44085;44085
"Antofagasta";1895;"Servicios";18807,5693891605;"Badia-Miró";"Servicios";44085;44085
"Antofagasta";1896;"Agrario";0;"Badia-Miró";"Agrario";NA;49855
"Antofagasta";1896;"Industria";80,0118319900539;"Badia-Miró";"Industria";NA;49855
"Antofagasta";1896;"Minería";46956,3135266527;"Badia-Miró";"Minería";NA;49855
"Antofagasta";1896;"Servicios";20137,9046574676;"Badia-Miró";"Servicios";NA;49855
"Antofagasta";1897;"Agrario";0;"Badia-Miró";"Agrario";NA;55625
"Antofagasta";1897;"Industria";100,372451962264;"Badia-Miró";"Industria";NA;55625
"Antofagasta";1897;"Minería";47908,1850536812;"Badia-Miró";"Minería";NA;55625
"Antofagasta";1897;"Servicios";19984,2131785121;"Badia-Miró";"Servicios";NA;55625
"Antofagasta";1898;"Agrario";0;"Badia-Miró";"Agrario";NA;61394
"Antofagasta";1898;"Industria";125,580796222432;"Badia-Miró";"Industria";NA;61394
"Antofagasta";1898;"Minería";48307,0495317853;"Badia-Miró";"Minería";NA;61394
"Antofagasta";1898;"Servicios";23075,9818199624;"Badia-Miró";"Servicios";NA;61394
"Antofagasta";1899;"Agrario";0;"Badia-Miró";"Agrario";NA;67164
"Antofagasta";1899;"Industria";156,786557162714;"Badia-Miró";"Industria";NA;67164
"Antofagasta";1899;"Minería";51358,8563062222;"Badia-Miró";"Minería";NA;67164
"Antofagasta";1899;"Servicios";23986,7227952259;"Badia-Miró";"Servicios";NA;67164
"Antofagasta";1900;"Agrario";0;"Badia-Miró";"Agrario";NA;72934
"Antofagasta";1900;"Industria";195,508769139169;"Badia-Miró";"Industria";NA;72934
"Antofagasta";1900;"Minería";54645,2248821386;"Badia-Miró";"Minería";NA;72934
"Antofagasta";1900;"Servicios";24172,0694733029;"Badia-Miró";"Servicios";NA;72934
"Antofagasta";1901;"Agrario";0;"Badia-Miró";"Agrario";NA;78704
"Antofagasta";1901;"Industria";243,828248600483;"Badia-Miró";"Industria";NA;78704
"Antofagasta";1901;"Minería";54725,0008379225;"Badia-Miró";"Minería";NA;78704
"Antofagasta";1901;"Servicios";26468,0527839641;"Badia-Miró";"Servicios";NA;78704
"Antofagasta";1902;"Agrario";0;"Badia-Miró";"Agrario";NA;84474
"Antofagasta";1902;"Industria";304,666448718476;"Badia-Miró";"Industria";NA;84474
"Antofagasta";1902;"Minería";41704,1341897009;"Badia-Miró";"Minería";NA;84474
"Antofagasta";1902;"Servicios";28671,6059642413;"Badia-Miró";"Servicios";NA;84474
"Antofagasta";1903;"Agrario";0;"Badia-Miró";"Agrario";NA;90244
"Antofagasta";1903;"Industria";382,157253181349;"Badia-Miró";"Industria";NA;90244
"Antofagasta";1903;"Minería";98360,283407941;"Badia-Miró";"Minería";NA;90244
"Antofagasta";1903;"Servicios";27131,1604479304;"Badia-Miró";"Servicios";NA;90244
"Antofagasta";1904;"Agrario";0;"Badia-Miró";"Agrario";NA;96014
"Antofagasta";1904;"Industria";482,093388404647;"Badia-Miró";"Industria";NA;96014
"Antofagasta";1904;"Minería";113173,329191996;"Badia-Miró";"Minería";NA;96014
"Antofagasta";1904;"Servicios";30928,4092934282;"Badia-Miró";"Servicios";NA;96014
"Antofagasta";1905;"Agrario";0;"Badia-Miró";"Agrario";NA;101783
"Antofagasta";1905;"Industria";612,329689352348;"Badia-Miró";"Industria";NA;101783
"Antofagasta";1905;"Minería";123715,377140936;"Badia-Miró";"Minería";NA;101783
"Antofagasta";1905;"Servicios";31782,8214219295;"Badia-Miró";"Servicios";NA;101783
"Antofagasta";1906;"Agrario";0;"Badia-Miró";"Agrario";NA;107553
"Antofagasta";1906;"Industria";782,952991181907;"Badia-Miró";"Industria";NA;107553
"Antofagasta";1906;"Minería";124188,875480422;"Badia-Miró";"Minería";NA;107553
"Antofagasta";1906;"Servicios";37121,419952079;"Badia-Miró";"Servicios";NA;107553
"Antofagasta";1907;"Agrario";0;"Badia-Miró";"Agrario";113323;113323
"Antofagasta";1907;"Industria";1005,76726895557;"Badia-Miró";"Industria";113323;113323
"Antofagasta";1907;"Minería";125926,47152572;"Badia-Miró";"Minería";113323;113323
"Antofagasta";1907;"Servicios";41467,7128299128;"Badia-Miró";"Servicios";113323;113323
"Antofagasta";1908;"Agrario";0;"Badia-Miró";"Agrario";NA;117862
"Antofagasta";1908;"Industria";1292,35291240646;"Badia-Miró";"Industria";NA;117862
"Antofagasta";1908;"Minería";167514,879332954;"Badia-Miró";"Minería";NA;117862
"Antofagasta";1908;"Servicios";46245,3468107897;"Badia-Miró";"Servicios";NA;117862
"Antofagasta";1909;"Agrario";0;"Badia-Miró";"Agrario";NA;122401
"Antofagasta";1909;"Industria";1649,5821377825;"Badia-Miró";"Industria";NA;122401
"Antofagasta";1909;"Minería";202424,382010483;"Badia-Miró";"Minería";NA;122401
"Antofagasta";1909;"Servicios";45859,7759811032;"Badia-Miró";"Servicios";NA;122401
"Antofagasta";1910;"Agrario";0;"Badia-Miró";"Agrario";NA;126940
"Antofagasta";1910;"Industria";2071,12164752587;"Badia-Miró";"Industria";NA;126940
"Antofagasta";1910;"Minería";268721,233083203;"Badia-Miró";"Minería";NA;126940
"Antofagasta";1910;"Servicios";51504,8254739348;"Badia-Miró";"Servicios";NA;126940
"Antofagasta";1911;"Agrario";0;"Badia-Miró";"Agrario";NA;131479
"Antofagasta";1911;"Industria";2523,0493995725;"Badia-Miró";"Industria";NA;131479
"Antofagasta";1911;"Minería";279612,403129645;"Badia-Miró";"Minería";NA;131479
